x,y
"커버력,용량,넘,사용,전,커버력,확인,안됨요",용량
"색,데일리,짱,블로그,보고,삿는데,가루,날림,밧,전,손,브러쉬,가루,날림,허쉬러스트,기대,햇는데,대신,애굣살,느낌,소바,발색,첨에멋도,손,처발처발햇",색상
"향,안색,샘플,구성",향기
"향,색,입술,색,색",향기
"분홍,수분,크림,미샤,쿠폰,수분,유분기,용기,용량,가격",용량
"가격,배송,젛네요,다음,규매할",가격
"색상,맘,머리색,붉은기,브라운,맘,가격,용량,맘,용량,제품,만족",용량
"용량,할인,넘좋으네요",용량
"도전,편,오리진스,밤,보습력,향,지속력,오후,느낌",향기
"생각,발림성,모공,커버,등,지성,피부,지속력",감촉
"흡수,빠라,넘",감촉
"제품,뒤,닦토,시루콧토,궁합,가격,때,통,기본,배송,릅니다",가격
"기획,세트,향,끈적임,없,조금,트러블,편,예정,양도,제품,긍정적",용량
"흡수,여름",감촉
,감촉
색,색상
"양,택배,회사,겠어요,한참,왓네요",용량
"느낌,오렌지색,정말",색상
"디자인,뚜껑,기가,첨,줄,위생,상,괸찬,은거,쬐금끈적,한데,네이처꺼,후,김,요길,탓어요,제품",디자인
"양,솜,얼굴",용량
"가격,품질,디자인,한데,제,뚜껑",디자인
"기존,제품,오프라인",가격
색깔,색상
"오늘,하루,냄새,그닥,효과,효과",향기
"라네즈,워터,뱅크,에센스,디자인,구성,품질",디자인
"구성,데,용량,구성,배송,보통",용량
"배송,샘플,용량,적",용량
"배송,생각",가격
색,색상
"하늘,연두,꿀,조합,완전,아침,얼굴,기지도,좁쌀,하늘,연두,꿀,조합,완전,아침,얼굴,기지도,좁쌀,마켓,안드로이드,앱,작성",색상
색이,색상
"상콤한,향",향기
"하,가격,놈",가격
"제조일,했지,사서",가격
"향,겨울엥",향기
"디자인,배송",디자인
"색,지속력,꽝",가격
"가격대비,용량,샘플",용량
"디자인,솔,중간,양,수도",디자인
"모이스쳐,소주,스킨,구매",감촉
"색,마음,발림,마음",색상
"딸래미,색상,넘,어,대,대쓰기에넘이쁜색",색상
"페리페라,립스틱,평소,패키지,디자인,재밋고,개인적,방망이,디자인,립스틱,처음,바르,느낌,물바른듯,느낌,꾸덕,가격,부담,요즘,국산,립스틱,질",디자인
"색상두,촉감두,가격,좋으네요,색상두,촉감두,가격,좋으네요,색상두,촉감두,가격,좋으네요,마켓,안드로이드,앱,작성",감촉
"저렴히,배송,사용감,맘",감촉
"파우더,가격,향도,맘",향기
향도,향기
"색상,진짜,가격,지속력",색상
"친구,제품,난후,미백,짱이,눈,전,때,쌔까,피부,컴플렉스,제품,사용,중,미백,효과,향,병,아주,아주,기대,효과",향기
저렴히,가격
"스킨,편,로션,병,동안,스틴,싸이닉,퍼스트,에센스,가격,세트,구매,향,물,처럼,스킨,구매",향기
"중,맘에,록시땅,핸드,크림,맘,사용,가격,모르겟고,피부,쓴거,다음,모르겟지,르겟지",색상
