x,y
"좋다,사다,적다",용량
"쓰다,좋다,심하다,없다,쓰다,좋다,쓰다,없다,반짝거리다,영롱하다,이다,어둡다,자연스럽다,많다,보이다,잇다,쨍하다,모르다,진하다,이쁘다",색상
"좋다,바르다,촉촉하다,맑다,좋다,좋다",향기
"달다,하다,연하다,좋다,있다,연하다,고르다",향기
"쓰다,주다,구매하다,원하다,있다,같다,크다,비하다,적다,저렴하다,아니다",용량
"저렴하다,빠르다,같다",가격
"들다,맞다,없다,들다,비하다,들다,받다,보다,실망하다",용량
"크다,받다",용량
"안하다,좋다,쓰다,좋다,상큼하다",향기
"어둡다,좋다,떨어지다,자연스럽다",감촉
좋다,감촉
"알다,하다,쓰다,같다,적합하다,화장솜하다,괜찮다,착하다,사다,사다",가격
"저렴하다,살다,같다,괜찮다,좋다,민감하다,못쓰다,올라오다,쓰다,좋다,구매하다,비싸다,하다,많다,유명하다",용량
"부드럽다,발리다,끈적이다,되다,쓰다,좋다,같다",감촉
"촉촉하다,좋다",감촉
"작다,귀엽다,다양하다,좋다",색상
"작다,바르다,따갑다,바꾸다,발송하다",용량
"촉촉하다,과하다,바르다,좋다",색상
"이뿌다,막히다,열다,막히다,같다,바르다,촉촉하다,두들기다,흡수잘되다,마르다,없다,갈다,좋다,감사하다",디자인
"쓰다,많다,묻히다,닦다,좋다",용량
"저렴하다,좋다,예쁘다,그렇다,헐렁하다",디자인
"계속하다,사용하다,재구입하다,구입하다,비싸다,저렴하다,구입하다,만족하다,사용하다,쓰다,구입하다",가격
"바르다,편하다,예쁘다",색상
"쓰다,좋다,좋다,되다,기대하다",향기
좋다,디자인
"좋다,구매하다,다르다,저렴하다,좋다",용량
"빠르다,주다,쓰다",용량
"빠르다,저렴하다,사다,좋다",가격
"예쁘다,저렴하다,구입하다",색상
"좋다,않다,없어지다,좋다,않다,없어지다",색상
이쁘다,색상
좋다,향기
"예쁘다,사악하다",가격
"쓰다,지나다,싸다,만족하다",가격
좋다,향기
"좋다,쓰다,구입하다,괜찮다,깔끔하다,빠르다",디자인
"저렴하다,사다,이쁘다",가격
작다,용량
"예쁘다,부드럽다,그려지다,조절하다,있다,뭉치다,그려지다",디자인
"좋다,하다,필요하다,같다",감촉
"들다,좋다,들다,팔다",색상
"쓰다,쓰다,이쁘다,구매하다",색상
"좋아하다,앙증맞다,싫어하다,시원하다,스며들다,녹다,발리다,마르다,하다,변하다,보송보송하다,저렴하다,쓰다,잃어버리다,깨지다,없다,같다,좋다",디자인
"좋다,좋다,좋다,좋다,좋다,좋다",감촉
"구매하다,빠르다,좋다,좋다,들다",감촉
"쓰다,오르다,좋다,들다,번창하다",향기
"촉촉하다,은은하다",향기
"예쁘다,저렴하다,좋다,사용하다,같다",색상
"쓰다,크다,뜨다,말하다,어리다,구입하다,나타나다,좋다,좋다,이쁘다,크다",향기
"받다,사다",가격
"쓰다,쓰다,소비하다,좋다,싸다,하다,간하다,좋다,알다,맑다,이다,쓰다,좋다,하다",향기
"슬다,들다,들다,하다,건조하다,같다,구입하다,안하다,살다,사다,살다",색상
"뜨다,있다,잘되다,쓰다,사다,달리다,지다,쓰면되다",감촉
"사용하다,좋다,구매하다",향기
"쓰다,좋다,좋다",향기
"잘되다,끈적이다,좋다",감촉
"좋다,훌륭하다",디자인
"선물하다,주문하다,다르다,저렴하다,오다,이쁘다",색상
"이다,빠르다,깔끔하다,좋다,쓰다,살다",디자인
"스크럽하다,적다,하다,좋다",향기
"좋다,좋다,뜨다,좋다",감촉
"좋다,가지다,다니다,쓰다,들다",디자인
"바르다,시원하다,줄이다,모르다,화장하다,번들거리다,번들거리다,줄어들다,쓰다,밀리다,그렇다,적당하다,적다",용량
"사용하다,얕다,흐려지다,모르다,바르다,구매하다,사다,좋다,겉돌다,않다,되다",감촉
"쓰다,사용하다,구입하다,하다,괜찮다,하다,구매하다,비하다,있다,좋다,같다,바르다,자다,촉촉하다,좋다,구매하다,사다",감촉
"떨어지다,같다,좋다",향기
"살다,쓰다,돌다,예쁘다,피하다,돌다,같다,하다,건조하다,있다,아쉽다",색상
작다,용량
"가볍다,강하다",향기
"쓰다,떨어지다,구매하다,쓰다,없다,편리하다,구매하다,적히다,하다,적히다,빼다,좋다",감촉
"되다,얇다,바르다,자연스럽다,같다,조절하다,필요하다,같다",색상
"좋다,선물받다,쓰다,괜찮다,저렴하다,만족하다",색상
"빠르다,꼼꼼하다,같다,저렴하다,팔다",가격
"주문하다,빠르다,푸짐하다,좋다,많다,감사드리다,하다",용량
"없다,쓰다,주문하다,없다,좋다,리치하다,발리다,같다,바르다,좋다",향기
크다,용량
"하다,좋다,바르다,지속되다,같다,만족스럽다,가져가다,좋다,묻다",향기
"빠르다,좋다,사다,촉촉하다,좋다,있다",감촉
"싸다,이쁘다,하다,하다,적당하다",색상
,디자인
